collection_uuid,item_uuid,item_url,title,pdf_url,pdf_name,pdf_path,downloaded_at
32ac7c8f-6874-4c3a-83b0-6223934600ca,396476cd-1d68-440e-8a17-41f31a15c7d4,https://cgspace.cgiar.org/items/396476cd-1d68-440e-8a17-41f31a15c7d4,Exposure visit of Government officials to witness the revitalization of traditional water-harvesting haveli systems at the Bhadokhar Haveli in the Tahrauli cluster,https://cgspace.cgiar.org/server/api/core/bitstreams/82173fca-07d6-450c-a2f4-1cb5d114726e/content,A_Report_on_Exposure_Visit_to_Central_India_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\A_Report_on_Exposure_Visit_to_Central_India_1.pdf,2026-05-14 13:52:41
32ac7c8f-6874-4c3a-83b0-6223934600ca,3830e926-db0b-4231-9ac6-7331d35c0140,https://cgspace.cgiar.org/items/3830e926-db0b-4231-9ac6-7331d35c0140,Workshops Report: Climate Resilient Rangelands in the Northern Territory of Australia,https://cgspace.cgiar.org/server/api/core/bitstreams/ca03d6b4-7203-4c99-b576-4f71f06b81fc/content,Workshop_Report-Climate_Resilient_Rangelands_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Workshop_Report-Climate_Resilient_Rangelands_1.pdf,2026-05-14 13:52:46
32ac7c8f-6874-4c3a-83b0-6223934600ca,379ab5c8-ea19-4a94-9e61-0b5c6f618f2c,https://cgspace.cgiar.org/items/379ab5c8-ea19-4a94-9e61-0b5c6f618f2c,Widespread gaps in native tree seed supply for ecosystem restoration,https://cgspace.cgiar.org/server/api/core/bitstreams/74ed8412-801d-4445-a85d-60853b7e5c92/content,Policy_Brief_APFC_Nov_2025_v1_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Policy_Brief_APFC_Nov_2025_v1_1.pdf,2026-05-14 13:52:48
32ac7c8f-6874-4c3a-83b0-6223934600ca,241e7204-b203-4f09-99b8-1af69fdbfbe2,https://cgspace.cgiar.org/items/241e7204-b203-4f09-99b8-1af69fdbfbe2,Co-creando paisajes sostenibles: Resultados del taller de la visión del paisaje a la acción (LV2A) en Cumbal,https://cgspace.cgiar.org/server/api/core/bitstreams/cfa97d42-367a-46a6-9e96-ffcfb27290c3/content,Cumbal_de_la_Vision_del_Paisaje_a_la_Accion_2025_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Cumbal_de_la_Vision_del_Paisaje_a_la_Accion_2025_1.pdf,2026-05-14 13:52:49
32ac7c8f-6874-4c3a-83b0-6223934600ca,2638fc90-16ce-49a3-96fe-f74f7f326497,https://cgspace.cgiar.org/items/2638fc90-16ce-49a3-96fe-f74f7f326497,"Understanding behavioral changes towards agroecological transitions: A case study from Mandla, India",https://cgspace.cgiar.org/server/api/core/bitstreams/c3ac3d6a-50d8-4256-98a2-f99a40f618c6/content,Master_Thesis_Vrindaja_VIKRAM_985211_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Master_Thesis_Vrindaja_VIKRAM_985211_1.pdf,2026-05-14 13:52:51
32ac7c8f-6874-4c3a-83b0-6223934600ca,22ec0a8c-563f-46a2-9307-01549c9977ac,https://cgspace.cgiar.org/items/22ec0a8c-563f-46a2-9307-01549c9977ac,"Measuring farm-level agrobiodiversity in Nariño, Colombia A large-scale assessment using agriculture census data",https://cgspace.cgiar.org/server/api/core/bitstreams/d515d185-b010-4e1d-940c-09afab123cbb/content,69730_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\69730_1.pdf,2026-05-14 13:52:53
32ac7c8f-6874-4c3a-83b0-6223934600ca,2507ad5f-8037-4e18-8af6-3cbc7231b347,https://cgspace.cgiar.org/items/2507ad5f-8037-4e18-8af6-3cbc7231b347,Fundamentals of climate change and planetary health: A lecture on indigenous perspectives to climate and planetary health,https://cgspace.cgiar.org/server/api/core/bitstreams/e960595a-afa0-4991-bc01-d938f4d92974/content,69824_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\69824_1.pdf,2026-05-14 13:52:55
32ac7c8f-6874-4c3a-83b0-6223934600ca,22318bce-9aa7-4662-aefc-8e886d43a278,https://cgspace.cgiar.org/items/22318bce-9aa7-4662-aefc-8e886d43a278,"From vision to action (V2A): Advancing sustainable management of multifunctional landscapes in Akole, Maharashtra (India)",https://cgspace.cgiar.org/server/api/core/bitstreams/888de68d-14ed-426d-becd-ccf57d9dc58f/content,V2A_Workshop_Report_Akole_revised_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\V2A_Workshop_Report_Akole_revised_1.pdf,2026-05-14 13:52:57
32ac7c8f-6874-4c3a-83b0-6223934600ca,08a3d523-1b95-43c4-ace3-bc82467b3bb2,https://cgspace.cgiar.org/items/08a3d523-1b95-43c4-ace3-bc82467b3bb2,"Media fieldtrip report – Cumbal, Nariño",https://cgspace.cgiar.org/server/api/core/bitstreams/68899024-1d46-4c2f-ae79-96279b60abf8/content,Report_Cumbal-Multifunctional_Landscapes_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Report_Cumbal-Multifunctional_Landscapes_1.pdf,2026-05-14 13:52:59
32ac7c8f-6874-4c3a-83b0-6223934600ca,0afbd41d-5383-4753-b715-977a7a218cba,https://cgspace.cgiar.org/items/0afbd41d-5383-4753-b715-977a7a218cba,Raíces y tubérculos en Ucayali: una mirada desde el método 5 celdas,https://cgspace.cgiar.org/server/api/core/bitstreams/a99c5498-9cb1-452f-b89b-7906561b6702/content,Raíces_y_tubérculos_en_Ucayali_-_Método_5_Celdas_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Raíces_y_tubérculos_en_Ucayali_-_Método_5_Celdas_1.pdf,2026-05-14 13:53:06
32ac7c8f-6874-4c3a-83b0-6223934600ca,07b22963-2814-47a4-a79e-37bd26581c75,https://cgspace.cgiar.org/items/07b22963-2814-47a4-a79e-37bd26581c75,Empowering smallholder olive growers in northwest Tunisia through an agroecological business model,https://cgspace.cgiar.org/server/api/core/bitstreams/dce2178c-edbd-47e5-8d2d-a2d88e99cfc3/content,fsufs-9-1587318_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\fsufs-9-1587318_1.pdf,2026-05-14 13:53:08
32ac7c8f-6874-4c3a-83b0-6223934600ca,0a500e14-af2d-42b3-8824-c3f92f8d0467,https://cgspace.cgiar.org/items/0a500e14-af2d-42b3-8824-c3f92f8d0467,Water & Soil Accelerator Program: Training report,https://cgspace.cgiar.org/server/api/core/bitstreams/82e76289-98cd-46f4-b09d-da97cc3ce00a/content,69811_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\69811_1.pdf,2026-05-14 13:53:12
32ac7c8f-6874-4c3a-83b0-6223934600ca,0e598562-6bda-4db4-aefe-cd9cabc318fd,https://cgspace.cgiar.org/items/0e598562-6bda-4db4-aefe-cd9cabc318fd,Multifunctional Landscapes Science Program: First-year stakeholder engagement report,https://cgspace.cgiar.org/server/api/core/bitstreams/3d560bca-215e-4c48-8d1a-f0a2457ceca8/content,Actor_Engagement_Tracker_-_First_Year_Implementation_Report_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Actor_Engagement_Tracker_-_First_Year_Implementation_Report_1.pdf,2026-05-14 13:53:15
32ac7c8f-6874-4c3a-83b0-6223934600ca,139c0fc3-7962-486d-8b0b-954238d3635d,https://cgspace.cgiar.org/items/139c0fc3-7962-486d-8b0b-954238d3635d,Systems approaches to support transitions towards resilient and sustainable farm and food systems,https://cgspace.cgiar.org/server/api/core/bitstreams/010e9850-6369-4df2-b8bb-ac75716817d4/content,07_Systems_approach_and_tools_to_support_tran_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\07_Systems_approach_and_tools_to_support_tran_1.pdf,2026-05-14 13:53:19
32ac7c8f-6874-4c3a-83b0-6223934600ca,3306c2af-3249-4b38-8d25-741e0bcd0724,https://cgspace.cgiar.org/items/3306c2af-3249-4b38-8d25-741e0bcd0724,Evaluating 20 years of land use change and degradation trends to inform ecosystem service modeling,https://cgspace.cgiar.org/server/api/core/bitstreams/9a99f918-81b4-442c-9987-cc0880ee4dbb/content,Evaluating_20_Years_of_Land_Use_Change_and_1.pdf,D:\OneDrive - CGIAR\Johana Castillo\2026\MFL\7_agente_MFL_mayo\cgspace-rag-agent\data\pdfs\Evaluating_20_Years_of_Land_Use_Change_and_1.pdf,2026-05-14 13:53:21
